buy_total,buy_unit,cus_date,customer,date_offset_days,grade,margin_total,margin_unit,match_note,qty,sell_total,sell_unit,sup_date,supplier,truck
2000000.0,200.0,2026-08-06,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2003000.0,200.3,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KBE 245Y
1970000.0,197.0,2026-08-07,MAQBUL,0,AGO,20000.0,2.0,truck+grade+qty ±1d,10000.0,1990000.0,199.0,2026-08-07,OLA ENERGIES KENYA LTD,KDD 231R
1995000.0,199.5,2026-08-07,LANDMARK,0,PMS,20000.0,2.0,truck+grade+qty ±1d,10000.0,2015000.0,201.5,2026-08-07,PIN OIL,KCC 166U
2593500.0,199.5,2026-08-07,BOLD,0,PMS,10400.0,0.8,truck+grade+qty ±1d,13000.0,2603900.0,200.3,2026-08-07,PIN OIL,KBZ 984F
198000.0,198.0,2026-08-07,BOLD,0,AGO,1300.0,1.3,truck+grade+qty ±1d,1000.0,199300.0,199.3,2026-08-07,PIN OIL,KBZ 984F
2030000.0,203.0,2026-08-07,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2033000.0,203.3,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KCL 098L
2030000.0,203.0,2026-08-07,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2033000.0,203.3,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KBY 554Z
2030000.0,203.0,2026-08-07,WAFI,0,PMS,5000.0,0.5,truck+grade+qty ±1d,10000.0,2035000.0,203.5,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KCF 657F
997500.0,199.5,2026-08-07,TRANSGLIDE,0,AGO,10000.0,2.0,truck+grade+qty ±1d,5000.0,1007500.0,201.5,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KDG 103L
1995000.0,199.5,2026-08-07,SAYUSA,0,AGO,25000.0,2.5,truck+grade+qty ±1d,10000.0,2020000.0,202.0,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KBF 520W
2030000.0,203.0,2026-08-07,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2033000.0,203.3,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KDM 130W
2030000.0,203.0,2026-08-07,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2033000.0,203.3,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KBL 473S
2030000.0,203.0,2026-08-07,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2033000.0,203.3,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KDE 775B
1995000.0,199.5,2026-08-07,MALUINI,0,AGO,15000.0,1.5,truck+grade+qty ±1d,10000.0,2010000.0,201.0,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KDU 024V
7511000.0,203.0,2026-08-07,DARRUSALAAM,0,PMS,18500.0,0.5,truck+grade+qty ±1d,37000.0,7529500.0,203.5,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KCA 340H
609000.0,203.0,2026-08-07,QUBAA,0,PMS,900.0,0.3,truck+grade+qty ±1d,3000.0,609900.0,203.3,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KAU 439D
1396500.0,199.5,2026-08-07,QUBAA,0,AGO,5600.0,0.8,truck+grade+qty ±1d,7000.0,1402100.0,200.3,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KAU 439D
1421000.0,203.0,2026-08-07,RAMCO,0,PMS,7000.0,1.0,truck+grade+qty ±1d,7000.0,1428000.0,204.0,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KBF 696N
598500.0,199.5,2026-08-07,RAMCO,0,AGO,6000.0,2.0,truck+grade+qty ±1d,3000.0,604500.0,201.5,2026-08-07,VITALAC INTERNATIONAL  LIMITED,KBF 696N
3248000.0,203.0,2026-08-10,BOLD,0,AGO,20800.0,1.3,truck+grade+qty ±1d,16000.0,3268800.0,204.3,2026-08-10,OIL HUB ENERGY LIIMITED,KDY 835M
2030000.0,203.0,2026-08-10,BOLD,0,AGO,13000.0,1.3,truck+grade+qty ±1d,10000.0,2043000.0,204.3,2026-08-10,OIL HUB ENERGY LIIMITED,KCG 292V
1990000.0,199.0,2026-08-10,ELYAAS,0,AGO,30000.0,3.0,truck+grade+qty ±1d,10000.0,2020000.0,202.0,2026-08-10,OIL HUB ENERGY LIIMITED,KCC 166U
1970000.0,197.0,2026-08-10,BOLD,0,AGO,13000.0,1.3,truck+grade+qty ±1d,10000.0,1983000.0,198.3,2026-08-10,OLA ENERGIES KENYA LTD,KBG 498R
2030000.0,203.0,2026-08-10,PETROL KIM,0,PMS,13000.0,1.3,truck+grade+qty ±1d,10000.0,2043000.0,204.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KCR 924W
2030000.0,203.0,2026-08-10,PETROL KIM,0,PMS,13000.0,1.3,truck+grade+qty ±1d,10000.0,2043000.0,204.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KBS 311L
1995000.0,199.5,2026-08-10,PETROL KIM,0,AGO,18000.0,1.8,truck+grade+qty ±1d,10000.0,2013000.0,201.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KBB 038G
1995000.0,199.5,2026-08-10,MARZIQ,0,AGO,20000.0,2.0,truck+grade+qty ±1d,10000.0,2015000.0,201.5,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KAV 369B
2020000.0,202.0,2026-08-10,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2023000.0,202.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KCL 098L
1414000.0,202.0,2026-08-10,KUSOW,0,PMS,7000.0,1.0,truck+grade+qty ±1d,7000.0,1421000.0,203.0,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KBZ 743G
598500.0,199.5,2026-08-10,KUSOW,0,AGO,6000.0,2.0,truck+grade+qty ±1d,3000.0,604500.0,201.5,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KBZ 743G
1616000.0,202.0,2026-08-10,MAOW,0,PMS,10400.0,1.3,truck+grade+qty ±1d,8000.0,1626400.0,203.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KCB 934M
798000.0,199.5,2026-08-10,MAOW,0,AGO,7200.0,1.8,truck+grade+qty ±1d,4000.0,805200.0,201.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KCB 934M
1616000.0,202.0,2026-08-10,BOLD,0,PMS,2400.0,0.3,truck+grade+qty ±1d,8000.0,1618400.0,202.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KDD 231R
399000.0,199.5,2026-08-10,BOLD,0,AGO,1600.0,0.8,truck+grade+qty ±1d,2000.0,400600.0,200.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KDD 231R
3434000.0,202.0,2026-08-10,BOLD,0,PMS,5100.0,0.3,truck+grade+qty ±1d,17000.0,3439100.0,202.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KBZ 984F
1212000.0,202.0,2026-08-10,BOLD,0,PMS,1800.0,0.3,truck+grade+qty ±1d,6000.0,1213800.0,202.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KAR 032Y
798000.0,199.5,2026-08-10,BOLD,0,AGO,3200.0,0.8,truck+grade+qty ±1d,4000.0,801200.0,200.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KAR 032Y
2020000.0,202.0,2026-08-10,BOLD,0,PMS,3000.0,0.3,truck+grade+qty ±1d,10000.0,2023000.0,202.3,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KDC 920Y
3636000.0,202.0,2026-08-10,WBP INVEST.,0,PMS,18000.0,1.0,truck+grade+qty ±1d,18000.0,3654000.0,203.0,2026-08-10,VITALAC INTERNATIONAL  LIMITED,KBF 471U
2000000.0,200.0,2026-08-07,BOLD,2,PMS,33000.0,3.3,grade+qty ±2d,10000.0,2033000.0,203.3,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KAV 369B→KAR 032Y
1227000.0,204.5,2026-08-07,ARABIYA,2,PMS,-18000.0,-3.0,grade+qty ±2d,6000.0,1209000.0,201.5,2026-08-05,VITALAC INTERNATIONAL  LIMITED,KDL 369T→KAV 369B
600000.0,200.0,2026-08-05,HK,-1,PMS,4500.0,1.5,grade+qty ±2d,3000.0,604500.0,201.5,2026-08-06,VITALAC INTERNATIONAL  LIMITED,KDG 103L→KAV 369B
1980000.0,198.0,2026-08-07,BOLD,0,AGO,3000.0,0.3,grade+qty ±2d,10000.0,1983000.0,198.3,2026-08-07,PREMIUM ENERGY LIMITED,KAR 032Y→KDC 920Y
