id,date,name,state,truck,customer,grade,supplier,qty,buy,sell,margin,invoices
799,2026-08-07,DEAL/2026/0799,loaded,KDT 943V,MAQBUL,PMS,VITALAC INTERNATIONAL  LIMITED,3000,600000.00,613500.00,13500.00,INV/2026/00752
800,2026-08-07,DEAL/2026/0800,loaded,KAU 439D,QUBAA,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,2005500.00,2012000.00,6500.00,INV/2026/00753
801,2026-08-07,DEAL/2026/0801,loaded,KBF 696N,RAMCO,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,2019500.00,2032500.00,13000.00,INV/2026/00754
802,2026-08-07,DEAL/2026/0802,loaded,KDG 103L,REEM VENTURES,AGO,VITALAC INTERNATIONAL  LIMITED,5000,997500.00,1030000.00,32500.00,INV/2026/00755
803,2026-08-07,DEAL/2026/0803,loaded,KBF 520W,SAYUSA,AGO,VITALAC INTERNATIONAL  LIMITED,10000,1995000.00,2020000.00,25000.00,INV/2026/00756
804,2026-08-07,DEAL/2026/0804,loaded,KDG 103L,TRANSGLIDE,AGO,VITALAC INTERNATIONAL  LIMITED,5000,997500.00,1007500.00,10000.00,INV/2026/00758
805,2026-08-07,DEAL/2026/0805,loaded,KCF 657F,WAFI,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2030000.00,2035000.00,5000.00,INV/2026/00757
806,2026-08-10,DEAL/2026/0806,loaded,KDY 835M,BOLD,AGO,OIL HUB ENERGY LIIMITED,16000,3248000.00,3268800.00,20800.00,INV/2026/00759
807,2026-08-10,DEAL/2026/0807,loaded,KCG 292V,BOLD,AGO,OIL HUB ENERGY LIIMITED,10000,2030000.00,2043000.00,13000.00,INV/2026/00760
808,2026-08-10,DEAL/2026/0808,loaded,KBG 498R,BOLD,AGO,OLA ENERGIES KENYA LTD,10000,1970000.00,1983000.00,13000.00,INV/2026/00761
809,2026-08-10,DEAL/2026/0809,loaded,KCL 098L,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2020000.00,2023000.00,3000.00,INV/2026/00762
810,2026-08-10,DEAL/2026/0810,loaded,KDD 231R,BOLD,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,2015000.00,2019000.00,4000.00,INV/2026/00763
811,2026-08-10,DEAL/2026/0811,loaded,KBZ 984F,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,17000,3434000.00,3439100.00,5100.00,INV/2026/00764
812,2026-08-10,DEAL/2026/0812,loaded,KAR 032Y,BOLD,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,2010000.00,2015000.00,5000.00,INV/2026/00765
813,2026-08-10,DEAL/2026/0813,loaded,KDC 920Y,BOLD,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2020000.00,2023000.00,3000.00,INV/2026/00766
814,2026-08-10,DEAL/2026/0814,loaded,KCC 166U,ELYAAS ENERGY LTD,AGO,OIL HUB ENERGY LIIMITED,10000,1990000.00,2020000.00,30000.00,INV/2026/00767
815,2026-08-10,DEAL/2026/0815,loaded,KBZ 743G,KUSOW,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,10000,2012500.00,2025500.00,13000.00,INV/2026/00768
816,2026-08-10,DEAL/2026/0816,loaded,KCB 934M,MAOW,"PMS, AGO",VITALAC INTERNATIONAL  LIMITED,12000,2414000.00,2431600.00,17600.00,INV/2026/00769
817,2026-08-10,DEAL/2026/0817,loaded,KAV 369B,MARZIQ,AGO,VITALAC INTERNATIONAL  LIMITED,10000,1995000.00,2015000.00,20000.00,INV/2026/00770
818,2026-08-10,DEAL/2026/0818,loaded,KBB 038G,PETROLKIM,AGO,VITALAC INTERNATIONAL  LIMITED,10000,1995000.00,2013000.00,18000.00,INV/2026/00771
819,2026-08-10,DEAL/2026/0819,loaded,KCR 924W,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2030000.00,2043000.00,13000.00,INV/2026/00772
820,2026-08-10,DEAL/2026/0820,loaded,KBS 311L,PETROLKIM,PMS,VITALAC INTERNATIONAL  LIMITED,10000,2030000.00,2043000.00,13000.00,INV/2026/00773
821,2026-08-10,DEAL/2026/0821,loaded,KCN 025A,REEM VENTURES,PMS,FOSSIL SUPPLIES  LIMITED,6000,1230000.00,1233000.00,3000.00,INV/2026/00774
822,2026-08-10,DEAL/2026/0822,loaded,KBF 520W,REEM VENTURES,AGO,OIL HUB ENERGY LIIMITED,10000,1990000.00,2050000.00,60000.00,INV/2026/00775
823,2026-08-10,DEAL/2026/0823,loaded,KBF 471U,WBP INVEST.,PMS,VITALAC INTERNATIONAL  LIMITED,18000,3636000.00,3654000.00,18000.00,INV/2026/00776
